team_id,player_id,metric,value
ATX,ATX-RB01,pass_attempts,0
ATX,ATX-RB01,pass_completions,0
ATX,ATX-RB01,pass_yards,0.0
ATX,ATX-RB01,pressures,0
ATX,ATX-RB01,sacks_taken,0
ATX,ATX-RB01,interceptions_thrown,0
ATX,ATX-RB01,rush_attempts,28
ATX,ATX-RB01,rush_yards,114.57000000000002
ATX,ATX-RB01,receptions,0
ATX,ATX-RB01,receiving_yards,0.0
ATX,ATX-RB01,tackles,0
ATX,ATX-RB01,sacks,0
ATX,ATX-RB01,interceptions_made,0
ATX,ATX-RB01,pressures_generated,0
ATX,CHI-LB02,pass_attempts,0
ATX,CHI-LB02,pass_completions,0
ATX,CHI-LB02,pass_yards,0.0
ATX,CHI-LB02,pressures,0
ATX,CHI-LB02,sacks_taken,0
ATX,CHI-LB02,interceptions_thrown,0
ATX,CHI-LB02,rush_attempts,0
ATX,CHI-LB02,rush_yards,0.0
ATX,CHI-LB02,receptions,0
ATX,CHI-LB02,receiving_yards,0.0
ATX,CHI-LB02,tackles,18
ATX,CHI-LB02,sacks,0
ATX,CHI-LB02,interceptions_made,0
ATX,CHI-LB02,pressures_generated,0
ATX,ATX-QB02,pass_attempts,71
ATX,ATX-QB02,pass_completions,39
ATX,ATX-QB02,pass_yards,413.8145644694639
ATX,ATX-QB02,pressures,9
ATX,ATX-QB02,sacks_taken,2
ATX,ATX-QB02,interceptions_thrown,2
ATX,ATX-QB02,rush_attempts,0
ATX,ATX-QB02,rush_yards,22.432499999999997
ATX,ATX-QB02,receptions,0
ATX,ATX-QB02,receiving_yards,0.0
ATX,ATX-QB02,tackles,0
ATX,ATX-QB02,sacks,0
ATX,ATX-QB02,interceptions_made,0
ATX,ATX-QB02,pressures_generated,0
ATX,ATX-WR01,pass_attempts,0
ATX,ATX-WR01,pass_completions,0
ATX,ATX-WR01,pass_yards,0.0
ATX,ATX-WR01,pressures,0
ATX,ATX-WR01,sacks_taken,0
ATX,ATX-WR01,interceptions_thrown,0
ATX,ATX-WR01,rush_attempts,14
ATX,ATX-WR01,rush_yards,57.307499999999976
ATX,ATX-WR01,receptions,22
ATX,ATX-WR01,receiving_yards,238.09255123293107
ATX,ATX-WR01,tackles,0
ATX,ATX-WR01,sacks,0
ATX,ATX-WR01,interceptions_made,0
ATX,ATX-WR01,pressures_generated,0
ATX,CHI-S03,pass_attempts,0
ATX,CHI-S03,pass_completions,0
ATX,CHI-S03,pass_yards,0.0
ATX,CHI-S03,pressures,0
ATX,CHI-S03,sacks_taken,0
ATX,CHI-S03,interceptions_thrown,0
ATX,CHI-S03,rush_attempts,0
ATX,CHI-S03,rush_yards,0.0
ATX,CHI-S03,receptions,0
ATX,CHI-S03,receiving_yards,0.0
